,open,high,low,close,volume
2015-10-01,128.875,129.03125,128.578125,128.78125,1169112.0
2015-10-02,128.796875,130.015625,128.59375,129.265625,1841806.0
2015-10-05,129.296875,129.46875,128.78125,128.828125,854072.0
2015-10-06,128.828125,129.09375,128.6875,129.0625,1028992.0
2015-10-07,129.0625,129.125,128.609375,128.765625,963526.0
2015-10-08,128.71875,129.0625,128.359375,128.5,1142428.0
2015-10-09,128.515625,128.71875,128.171875,128.546875,927935.0
2015-10-12,128.5625,128.8125,128.4375,128.78125,153439.0
2015-10-13,128.78125,128.984375,128.625,128.921875,808091.0
2015-10-14,128.9375,129.625,128.90625,129.609375,1173977.0
2015-10-15,129.59375,129.625,129.078125,129.140625,1015199.0
2015-10-16,129.125,129.296875,128.9375,128.953125,740598.0
2015-10-19,128.953125,129.125,128.71875,129.0,838547.0
2015-10-20,128.984375,129.0625,128.484375,128.5625,1001847.0
2015-10-21,128.5625,129.0,128.53125,128.921875,817745.0
2015-10-22,128.921875,129.09375,128.671875,128.875,1074252.0
2015-10-23,128.890625,128.921875,128.28125,128.375,1183949.0
2015-10-26,128.40625,128.671875,128.328125,128.59375,709927.0
2015-10-27,128.609375,129.078125,128.5625,128.84375,910211.0
2015-10-28,128.859375,128.90625,128.109375,128.109375,1253329.0
2015-10-29,128.140625,128.265625,127.546875,127.578125,1512954.0
2015-10-30,127.625,127.828125,127.453125,127.71875,2854961.0
2015-11-02,127.765625,127.828125,127.34375,127.421875,1840640.0
2015-11-03,127.5,127.515625,127.046875,127.15625,1680029.0
2015-11-04,127.15625,127.28125,126.796875,126.953125,2586735.0
2015-11-05,126.953125,127.0625,126.671875,126.953125,2394324.0
2015-11-06,126.9375,127.0,125.875,126.09375,1747243.0
2015-11-09,126.125,126.140625,125.703125,125.921875,1215477.0
2015-11-10,125.984375,126.359375,125.953125,126.1875,1039914.0
2015-11-11,126.125,126.234375,126.03125,126.125,221543.0
2015-11-12,126.125,126.375,126.015625,126.234375,1082188.0
2015-11-13,126.234375,126.609375,126.140625,126.5625,2015764.0
2015-11-16,126.9375,126.9375,126.625,126.671875,910514.0
2015-11-17,,126.84375,126.3125,126.6875,1042810.0
2015-11-18,126.6875,126.78125,126.421875,126.59375,861285.0
2015-11-19,126.609375,126.890625,126.546875,126.8125,939993.0
2015-11-20,126.734375,126.953125,126.640625,126.65625,916842.0
2015-11-23,126.640625,126.890625,126.375,126.796875,1634909.0
2015-11-24,126.859375,127.1875,126.765625,126.96875,2317561.0
2015-11-25,,127.078125,126.8125,126.96875,1581601.0
2015-11-27,126.921875,127.234375,126.921875,127.078125,506948.0
2015-11-30,127.078125,127.15625,126.875,127.0625,245420.0
2015-12-01,127.078125,127.625,126.828125,127.5625,92346.0
2015-12-02,127.546875,127.5625,127.09375,127.25,56922.0
2015-12-03,,127.296875,125.984375,126.234375,77677.0
2015-12-04,126.3125,126.671875,125.9375,126.59375,55642.0
2015-12-07,126.5,127.0625,126.4375,126.859375,23869.0
2015-12-08,126.875,127.15625,126.796875,127.015625,12805.0
2015-12-09,126.96875,127.328125,126.703125,127.203125,15468.0
2015-12-10,127.1875,127.265625,126.9375,126.953125,26217.0
2015-12-11,126.921875,127.875,126.921875,127.765625,5595.0
2015-12-14,127.671875,127.75,127.0,127.046875,6688.0
2015-12-15,127.109375,127.1875,126.53125,126.6875,4458.0
2015-12-16,126.75,126.75,126.0625,126.375,6665.0
2015-12-17,126.453125,126.890625,126.375,126.890625,3201.0
2015-12-18,126.875,127.28125,126.84375,127.109375,4590.0
2015-12-21,127.0,127.328125,126.9375,127.15625,2506.0
2015-12-22,126.515625,126.65625,126.15625,126.1875,476188.0
2015-12-23,126.234375,126.234375,125.890625,126.03125,432271.0
2015-12-24,126.046875,126.1875,125.953125,126.171875,157250.0
2015-12-28,126.09375,126.40625,126.015625,126.234375,311296.0
2015-12-29,126.25,126.328125,125.546875,125.625,556325.0
2015-12-30,,125.796875,125.4375,125.6875,656599.0
2015-12-31,,125.984375,125.625,125.90625,434947.0
2016-01-04,125.875,126.5625,125.765625,126.21875,1051368.0
2016-01-05,126.15625,126.4375,126.015625,126.28125,879634.0
2016-01-06,126.3125,126.921875,126.234375,126.859375,1129577.0
2016-01-07,126.84375,127.3125,126.671875,127.15625,1393443.0
2016-01-08,127.140625,127.5625,126.578125,127.515625,3170360.0
2016-01-11,127.53125,127.71875,127.0625,127.203125,1079103.0
2016-01-12,127.203125,128.0,126.984375,127.75,1367067.0
2016-01-13,127.734375,128.265625,127.421875,128.046875,3068390.0
2016-01-14,,128.21875,127.625,127.875,1486825.0
2016-01-15,,128.90625,127.8125,128.453125,3625012.0
2016-01-19,128.5,128.59375,128.015625,128.25,1513710.0
2016-01-20,128.265625,129.25,128.25,128.78125,3852242.0
2016-01-21,128.859375,129.171875,128.5,128.609375,1749181.0
2016-01-22,128.5625,128.734375,128.078125,128.3125,1175624.0
2016-01-25,128.3125,128.734375,128.078125,128.625,827307.0
2016-01-26,,129.078125,128.5,128.71875,1031294.0
2016-01-27,128.78125,128.9375,128.3125,128.90625,1082826.0
2016-01-28,128.875,129.09375,128.53125,129.03125,1583237.0
2016-01-29,129.0625,129.6875,128.96875,129.578125,1586957.0
2016-02-01,129.59375,129.796875,129.15625,129.3125,1194705.0
2016-02-02,129.28125,130.171875,129.265625,130.0625,1367823.0
2016-02-03,130.1875,130.75,129.8125,130.046875,3872106.0
2016-02-04,,130.375,129.84375,130.34375,1607997.0
2016-02-05,130.4375,130.6875,129.921875,130.375,1784074.0
2016-02-08,130.34375,131.3125,130.171875,131.09375,1563716.0
2016-02-09,131.1875,131.75,131.015625,131.28125,1993045.0
2016-02-10,131.28125,131.765625,130.90625,131.75,1781823.0
2016-02-11,131.75,133.046875,131.671875,131.859375,2468876.0
2016-02-12,131.84375,132.0,130.953125,131.046875,1666106.0
2016-02-16,130.984375,131.15625,130.625,130.828125,3011037.0
2016-02-17,,131.203125,130.1875,130.53125,1416945.0
2016-02-18,130.4375,131.09375,130.3125,131.0625,1284522.0
2016-02-19,131.09375,131.28125,130.640625,130.890625,1267547.0
2016-02-22,130.859375,130.9375,130.5625,130.859375,1227088.0
2016-02-23,130.859375,131.171875,130.359375,131.125,2402039.0
2016-02-24,131.125,131.796875,130.890625,130.9375,2530539.0
2016-02-25,130.9375,131.59375,130.84375,131.328125,2188193.0
2016-02-26,131.25,131.265625,130.578125,130.75,1266764.0
2016-02-29,130.78125,131.0,130.65625,130.90625,437441.0
2016-03-01,130.953125,131.21875,129.984375,130.015625,134491.0
2016-03-02,130.0,130.171875,129.59375,129.8125,74529.0
2016-03-03,129.828125,130.046875,129.625,129.890625,21198.0
2016-03-04,129.828125,130.046875,129.34375,129.53125,42594.0
2016-03-07,129.578125,129.59375,129.265625,129.328125,38984.0
2016-03-08,129.375,130.109375,129.328125,129.953125,16301.0
2016-03-09,130.0,130.0,129.421875,129.59375,10126.0
2016-03-10,129.46875,129.78125,128.9375,129.015625,9940.0
2016-03-11,129.0625,129.15625,128.65625,128.71875,5439.0
2016-03-14,128.828125,129.046875,128.703125,128.875,4922.0
2016-03-15,128.84375,129.234375,128.765625,128.796875,5322.0
2016-03-16,128.84375,129.515625,128.515625,129.515625,4833.0
2016-03-17,129.53125,129.984375,129.5,129.59375,4162.0
2016-03-18,129.625,129.921875,129.59375,129.84375,3682.0
2016-03-21,129.890625,129.90625,129.5,129.546875,4171.0
2016-03-22,129.015625,129.375,128.703125,128.734375,1015630.0
2016-03-23,128.734375,129.359375,128.640625,129.296875,851948.0
2016-03-24,129.265625,129.46875,128.96875,129.1875,705130.0
2016-03-28,129.15625,129.46875,128.96875,129.28125,417002.0
