,open,high,low,close,volume
2004-03-23,113.921875,113.984375,113.765625,113.890625,157807.0
2004-03-24,113.984375,114.09375,113.875,113.9375,211201.0
2004-03-25,113.9375,114.0,113.71875,113.890625,188607.0
2004-03-26,113.859375,113.9375,113.390625,113.421875,291093.0
2004-03-29,113.359375,113.4375,113.0625,113.203125,236355.0
2004-03-30,113.234375,113.421875,113.15625,113.171875,211534.0
2004-03-31,113.1875,113.59375,113.171875,113.5625,270533.0
2004-04-01,113.5625,113.65625,113.109375,113.203125,343062.0
2004-04-02,113.234375,113.3125,111.140625,111.90625,516650.0
2004-04-05,111.828125,111.9375,111.421875,111.5625,311116.0
2004-04-06,111.625,111.921875,111.625,111.796875,247513.0
2004-04-07,111.890625,112.03125,111.765625,111.8125,228651.0
2004-04-08,111.84375,111.921875,111.59375,111.671875,184437.0
2004-04-12,111.625,111.65625,111.421875,111.5625,129588.0
2004-04-13,111.546875,111.578125,111.0,111.046875,349952.0
2004-04-14,110.984375,111.125,110.3125,110.734375,524414.0
2004-04-15,110.765625,110.984375,110.484375,110.625,388571.0
2004-04-16,110.71875,111.15625,110.640625,110.96875,279677.0
2004-04-19,110.953125,111.15625,110.71875,110.796875,203880.0
2004-04-20,110.75,110.84375,110.140625,110.5625,399556.0
2004-04-21,110.265625,110.5,110.0,110.34375,603772.0
2004-04-22,110.359375,110.640625,110.15625,110.609375,311222.0
2004-04-23,110.546875,110.71875,110.0,110.078125,427269.0
2004-04-26,110.0,110.203125,109.90625,110.140625,240233.0
2004-04-27,110.09375,110.453125,110.0625,110.359375,351557.0
2004-04-28,110.4375,110.453125,109.8125,109.984375,319161.0
2004-04-29,109.796875,110.171875,109.59375,109.734375,557006.0
2004-04-30,109.71875,110.015625,109.609375,109.9375,367775.0
2004-05-03,109.9375,110.03125,109.734375,109.90625,243306.0
2004-05-04,109.90625,110.328125,109.59375,109.828125,406037.0
2004-05-05,109.734375,110.109375,109.609375,109.703125,396042.0
2004-05-06,109.6875,109.796875,109.484375,109.53125,398980.0
2004-05-07,109.53125,109.90625,108.328125,108.484375,677074.0
